"Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence1","Prominence2","Prominence","Fit","Fit_Match","Fit_Mismatch","R"
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.1,1,1,"LagoEtAl15E3a","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",15.3748,22.2396,8.51,1
2,0.125,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.1,1,1,"LagoEtAl15E3b","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",7.2604,0.7484,13.7724,1
2,0.125,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.1,1,1,"WagersEtAl09E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",31.2823,20.3834,42.1812,1
2,0.125,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.1,1,1,"WagersEtAl09E3plu","EN","SPR","RT",NA,"num","pro","subj","agreement","plural","subj","subj_OR_topic","medium",11.4516,0.449,22.4542,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.1,1,1,"WagersEtAl09E3sing","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",18.4751,10.909,26.0412,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.1,1,1,"VanDykeEtAl11E1bPro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj","subj_OR_topic","medium",4.7768,4.7768,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.1,1,1,"VanDykeEtAl11E1bRetro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj","subj_OR_topic","medium",12.3192,12.3192,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.1,1,1,"VanDyke07E1LoSem","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",5.703,5.703,NA,1
5,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.1,1,1,"VanDyke07E2LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",0.550199999999997,0.550199999999997,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.1,1,1,"VanDyke07E3LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",1.5274,1.5274,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.1,1,1,"VanDykeEtal03E4","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",11.823,11.823,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.1,1,1,"BadeckerEtAl02E4","EN","SPR","RT",NA,"num","pro","subj","reci",NA,"subj","subj_OR_topic","medium",22.1586,22.1586,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.1,1,1,"BadeckerEtAl02E3","EN","SPR","RT",NA,"gend","pro","subj","refl",NA,"subj","subj_OR_topic","medium",16.6596,16.6596,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.1,1,1,"ChenEtAl12local","CN","SPR","RT",NA,"anim","retro","subj","refl",NA,"subj","subj_OR_topic","medium",13.3894,13.3894,NA,1
64,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,0,0.1,1,1,"JaegerEtAl15E1","CN","ET","FPRT",NA,"anim","retro","subj","refl",NA,"subj","subj_OR_topic","medium",17.0594,21.4736,12.6452,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.1,1,1,"PatilEtAl2016","EN","ET","FPRT",NA,"gend","retro","subj","refl",NA,"subj","subj_OR_topic","medium",24.69655,31.2104,36.3654,-1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.2,1,1,"LagoEtAl15E1","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",23.4904,14.9884,31.9924,1
3,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.2,1,1,"LagoEtAl15E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",22.5859,22.978,22.1938,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.2,1,1,"LagoEtAl15E3a","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",14.6658,22.882,6.4496,1
2,0.125,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.2,1,1,"LagoEtAl15E3b","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",6.5621,1.6794,11.4448,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.2,1,1,"WagersEtAl09E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",30.8539,18.8816,42.8262,1
2,0.125,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.2,1,1,"WagersEtAl09E3plu","EN","SPR","RT",NA,"num","pro","subj","agreement","plural","subj","subj_OR_topic","medium",10.6783,0.8492,20.5074,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.2,1,1,"WagersEtAl09E3sing","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",18.3234,11.7726,24.8742,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.2,1,1,"VanDykeEtAl11E1bPro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj","subj_OR_topic","medium",6.0166,6.0166,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.2,1,1,"VanDykeEtAl11E1bRetro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj","subj_OR_topic","medium",13.0526,13.0526,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.2,1,1,"VanDyke07E1LoSem","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",4.2772,4.2772,NA,1
6,0.225,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.2,1,1,"VanDyke07E2LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",0.770800000000001,0.770800000000001,NA,1
2,0.125,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.2,1,1,"VanDyke07E3LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",0.874600000000001,0.874600000000001,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.2,1,1,"VanDykeEtal03E4","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",13.5358,13.5358,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.2,1,1,"BadeckerEtAl02E4","EN","SPR","RT",NA,"num","pro","subj","reci",NA,"subj","subj_OR_topic","medium",21.1536,21.1536,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.2,1,1,"BadeckerEtAl02E3","EN","SPR","RT",NA,"gend","pro","subj","refl",NA,"subj","subj_OR_topic","medium",15.3966,15.3966,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.2,1,1,"ChenEtAl12local","CN","SPR","RT",NA,"anim","retro","subj","refl",NA,"subj","subj_OR_topic","medium",12.334,12.334,NA,1
43,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.3,0.2,1,1,"JaegerEtAl15E1","CN","ET","FPRT",NA,"anim","retro","subj","refl",NA,"subj","subj_OR_topic","medium",17.7389,17.471,18.0068,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.2,1,1,"PatilEtAl2016","EN","ET","FPRT",NA,"gend","retro","subj","refl",NA,"subj","subj_OR_topic","medium",24.77115,30.3606,38.3634,-1
2,0.125,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.3,1,1,"LagoEtAl15E1","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",23.0691,19.1194,27.0188,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.3,1,1,"LagoEtAl15E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",22.2024,18.6156,25.7892,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.3,1,1,"LagoEtAl15E3a","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",14.3332,24.062,4.6044,1
2,0.125,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.3,1,1,"LagoEtAl15E3b","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",5.8624,2.7212,9.0036,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.3,1,1,"WagersEtAl09E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",30.1713,19.8404,40.5022,1
5,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.3,1,1,"WagersEtAl09E3plu","EN","SPR","RT",NA,"num","pro","subj","agreement","plural","subj","subj_OR_topic","medium",9.481,9.4516,9.5104,1
2,0.125,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.3,1,1,"WagersEtAl09E3sing","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",17.4491,15.414,19.4842,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.3,1,1,"VanDykeEtAl11E1bPro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj","subj_OR_topic","medium",6.82,6.82,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.3,1,1,"VanDykeEtAl11E1bRetro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj","subj_OR_topic","medium",13.5382,13.5382,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.3,1,1,"VanDyke07E1LoSem","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",2.9462,2.9462,NA,1
6,0.225,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.3,1,1,"VanDyke07E2LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",1.4318,1.4318,NA,1
2,0.125,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.3,1,1,"VanDyke07E3LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",0.454599999999999,0.454599999999999,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.3,1,1,"VanDykeEtal03E4","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",16.7748,16.7748,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.3,1,1,"BadeckerEtAl02E4","EN","SPR","RT",NA,"num","pro","subj","reci",NA,"subj","subj_OR_topic","medium",19.2466,19.2466,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.3,1,1,"BadeckerEtAl02E3","EN","SPR","RT",NA,"gend","pro","subj","refl",NA,"subj","subj_OR_topic","medium",12.3956,12.3956,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.3,1,1,"ChenEtAl12local","CN","SPR","RT",NA,"anim","retro","subj","refl",NA,"subj","subj_OR_topic","medium",10.7852,10.7852,NA,1
64,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,0,0.3,1,1,"JaegerEtAl15E1","CN","ET","FPRT",NA,"anim","retro","subj","refl",NA,"subj","subj_OR_topic","medium",17.8024,13.6948,21.91,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.3,1,1,"PatilEtAl2016","EN","ET","FPRT",NA,"gend","retro","subj","refl",NA,"subj","subj_OR_topic","medium",24.26115,28.7576,39.5294,-1
6,0.225,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.4,1,1,"LagoEtAl15E1","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",21.329,31.3644,11.2936,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.4,1,1,"LagoEtAl15E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",21.1831,19.0676,23.2986,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.4,1,1,"LagoEtAl15E3a","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",13.3662,24.1904,2.542,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.4,1,1,"LagoEtAl15E3b","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",4.5585,0.0413999999999994,9.0756,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.4,1,1,"WagersEtAl09E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",29.537,20.3846,38.6894,1
5,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.4,1,1,"WagersEtAl09E3plu","EN","SPR","RT",NA,"num","pro","subj","agreement","plural","subj","subj_OR_topic","medium",8.6023,11.2022,6.0024,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.4,1,1,"WagersEtAl09E3sing","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",16.5837,13.4518,19.7156,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.4,1,1,"VanDykeEtAl11E1bPro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj","subj_OR_topic","medium",7.4094,7.4094,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.4,1,1,"VanDykeEtAl11E1bRetro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj","subj_OR_topic","medium",14.6508,14.6508,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.4,1,1,"VanDyke07E1LoSem","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",1.1046,1.1046,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.4,1,1,"VanDyke07E2LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",2.5964,2.5964,NA,1
3,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.4,1,1,"VanDyke07E3LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",1.0204,1.0204,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.4,1,1,"VanDykeEtal03E4","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",20.9792,20.9792,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.4,1,1,"BadeckerEtAl02E4","EN","SPR","RT",NA,"num","pro","subj","reci",NA,"subj","subj_OR_topic","medium",17.6018,17.6018,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.4,1,1,"BadeckerEtAl02E3","EN","SPR","RT",NA,"gend","pro","subj","refl",NA,"subj","subj_OR_topic","medium",11.4836,11.4836,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.4,1,1,"ChenEtAl12local","CN","SPR","RT",NA,"anim","retro","subj","refl",NA,"subj","subj_OR_topic","medium",8.7924,8.7924,NA,1
43,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.3,0.4,1,1,"JaegerEtAl15E1","CN","ET","FPRT",NA,"anim","retro","subj","refl",NA,"subj","subj_OR_topic","medium",17.2098,8.9222,25.4974,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.4,1,1,"PatilEtAl2016","EN","ET","FPRT",NA,"gend","retro","subj","refl",NA,"subj","subj_OR_topic","medium",23.78555,26.7956,41.551,-1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"LagoEtAl15E1","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",19.8048,36.8508,2.7588,1
5,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"LagoEtAl15E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",19.6075,32.7684,6.4466,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"LagoEtAl15E3a","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",12.8951,25.2118,0.5784,1
3,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"LagoEtAl15E3b","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",4.0226,7.768,0.277200000000001,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"WagersEtAl09E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",27.0886,40.7792,13.398,1
5,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"WagersEtAl09E3plu","EN","SPR","RT",NA,"num","pro","subj","agreement","plural","subj","subj_OR_topic","medium",6.9748,12.227,1.7226,1
5,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"WagersEtAl09E3sing","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",14.6303,26.1014,3.1592,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"VanDykeEtAl11E1bPro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj","subj_OR_topic","medium",7.8648,7.8648,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"VanDykeEtAl11E1bRetro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj","subj_OR_topic","medium",15.4958,15.4958,NA,1
2,0.125,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.5,1,1,"VanDyke07E1LoSem","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",1.3186,1.3186,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.5,1,1,"VanDyke07E2LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",9.0344,9.0344,NA,1
4,0.175,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.5,1,1,"VanDyke07E3LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",0.912800000000001,0.912800000000001,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.5,1,1,"VanDykeEtal03E4","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",27.9746,27.9746,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"BadeckerEtAl02E4","EN","SPR","RT",NA,"num","pro","subj","reci",NA,"subj","subj_OR_topic","medium",14.8242,14.8242,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"BadeckerEtAl02E3","EN","SPR","RT",NA,"gend","pro","subj","refl",NA,"subj","subj_OR_topic","medium",9.5088,9.5088,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.5,1,1,"ChenEtAl12local","CN","SPR","RT",NA,"anim","retro","subj","refl",NA,"subj","subj_OR_topic","medium",6.3034,6.3034,NA,1
22,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.6,0.5,1,1,"JaegerEtAl15E1","CN","ET","FPRT",NA,"anim","retro","subj","refl",NA,"subj","subj_OR_topic","medium",16.6503,4.0166,29.284,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.5,1,1,"PatilEtAl2016","EN","ET","FPRT",NA,"gend","retro","subj","refl",NA,"subj","subj_OR_topic","medium",22.4525,24.181,41.448,-1
6,0.225,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.6,1,1,"LagoEtAl15E1","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",18.532,34.021,3.043,1
3,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.6,1,1,"LagoEtAl15E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",18.7507,26.695,10.8064,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.6,1,1,"LagoEtAl15E3a","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",13.5652,25.2184,1.912,1
2,0.125,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.6,1,1,"LagoEtAl15E3b","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",3.0342,4.5158,1.5526,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.6,1,1,"WagersEtAl09E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",25.389,41.391,9.387,1
3,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.6,1,1,"WagersEtAl09E3plu","EN","SPR","RT",NA,"num","pro","subj","agreement","plural","subj","subj_OR_topic","medium",6.479,6.482,6.476,1
4,0.175,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.6,1,1,"WagersEtAl09E3sing","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",13.9954,24.168,3.8228,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.6,1,1,"VanDykeEtAl11E1bPro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj","subj_OR_topic","medium",8.6322,8.6322,NA,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.6,1,1,"VanDykeEtAl11E1bRetro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj","subj_OR_topic","medium",15.319,15.319,NA,1
3,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.6,1,1,"VanDyke07E1LoSem","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",0.140599999999999,0.140599999999999,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.6,1,1,"VanDyke07E2LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",15.6216,15.6216,NA,1
6,0.225,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.6,1,1,"VanDyke07E3LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",0.442,0.442,NA,1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.6,1,1,"VanDykeEtal03E4","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj","subj_OR_topic","medium",34.4552,34.4552,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.6,1,1,"BadeckerEtAl02E4","EN","SPR","RT",NA,"num","pro","subj","reci",NA,"subj","subj_OR_topic","medium",14.9588,14.9588,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.6,1,1,"BadeckerEtAl02E3","EN","SPR","RT",NA,"gend","pro","subj","refl",NA,"subj","subj_OR_topic","medium",8.5196,8.5196,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.6,1,1,"ChenEtAl12local","CN","SPR","RT",NA,"anim","retro","subj","refl",NA,"subj","subj_OR_topic","medium",3.1222,3.1222,NA,1
57,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.1,0.6,1,1,"JaegerEtAl15E1","CN","ET","FPRT",NA,"anim","retro","subj","refl",NA,"subj","subj_OR_topic","medium",15.966,0.8184,31.1136,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,0.6,1,1,"PatilEtAl2016","EN","ET","FPRT",NA,"gend","retro","subj","refl",NA,"subj","subj_OR_topic","medium",21.29565,21.3516,42.4794,-1
5,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.7,1,1,"LagoEtAl15E1","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",17.1437,30.5806,3.7068,1
4,0.175,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.7,1,1,"LagoEtAl15E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",17.3015,30.6008,4.0022,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.7,1,1,"LagoEtAl15E3a","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",14.4719,25.6494,3.2944,1
1,0.1,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.7,1,1,"LagoEtAl15E3b","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",2.3574,1.186,3.5288,1
6,0.225,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.7,1,1,"WagersEtAl09E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",23.0119,37.7884,8.2354,1
3,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.7,1,1,"WagersEtAl09E3plu","EN","SPR","RT",NA,"num","pro","subj","agreement","plural","subj","subj_OR_topic","medium",5.3043,7.6062,3.0024,1
4,0.175,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.7,1,1,"WagersEtAl09E3sing","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj","subj_OR_topic","medium",12.5394,24.7628,0.316000000000003,1
