"Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence1","Prominence2","Prominence","Fit","Fit_Match","Fit_Mismatch","R"
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"DillonEtAl13E2themselves","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other","other","low",11.3105,16.2164,29.0256,-1
6,0.225,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.4,1,1,"FranckEtAl15E1Compl","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other","other","low",29.1452,29.1452,NA,1
7,0.25,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.4,1,1,"FranckEtAl15E1RC","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other","other","low",107.331,107.331,NA,1
5,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"DillonEtAl13E1agrmt","EN","ET","FPRT",NA,"num","retro","obj","agreement","sing","other","other","low",7.4814,18.7128,5.6064,-1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"PearlmutterEtAl99E1","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",13.77195,37.4166,17.6712,-1
5,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"PearlmutterEtAl99E2","EN","ET","FPRT",NA,"num","retro","pp","agreement","sing","other","other","low",11.21755,41.2462,1.812,-1
7,0.25,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"PearlmutterEtAl99E3plu","EN","SPR","RT",NA,"num","retro","pp","agreement","plural","other","other","low",18.528,18.528,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"PearlmutterEtAl99E3sing","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",19.1307,38.2614,NA,1
1,0.1,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"TuckerEtAl2015","AR","SPR","RT",NA,"num","retro","obj","agreement","sing","other","other","low",16.39825,9.3982,28.0974,1
2,0.125,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.4,1,1,"WagersEtAl09E4","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other","other","low",27.5259,29.7748,40.1644,1
