Id;Publication;Lang;Method_Measure;Cue;IntType;DistrPos;Effect;SE;TargetType;DepType;VerbType;DataRequested;DataReceived;Prominence1;Prominence2
40;WagersEtAl09E3RNsing;EN;SPR_RT;num;pro;subj;10;10;Match;agreement;sing;N;N;subj;subj_OR_topic
40;WagersEtAl09E3RNsing;EN;SPR_RT;num;pro;subj;-20;10;Mismatch;agreement;plural;N;N;subj;subj_OR_topic
40;WagersEtAl09E3RNplu;EN;SPR_RT;num;pro;subj;10;10;Match;agreement;plural;N;N;subj;subj_OR_topic
40;WagersEtAl09E3RNplu;EN;SPR_RT;num;pro;subj;5;10;Mismatch;agreement;sing;N;N;subj;subj_OR_topic
42;LagoEtAl15E3a;SP;SPR_RT;num;pro;subj;12;6;Match;agreement;sing;Y;Y;subj;subj_OR_topic
42;LagoEtAl15E3a;SP;SPR_RT;num;pro;subj;-15;7;Mismatch;agreement;plural;Y;Y;subj;subj_OR_topic
47;PearlmutterEtAl99E1;EN;SPR_RT;num;retro;pp;-35;9;Match;agreement;sing;N;N;other;other
47;PearlmutterEtAl99E1;EN;SPR_RT;num;retro;pp;19;9;Mismatch;agreement;plural;N;N;other;other
48;PearlmutterEtAl99E2;EN;ET_FPRT;num;retro;pp;-36;18;Match;agreement;sing;N;N;other;other
48;PearlmutterEtAl99E2;EN;ET_FPRT;num;retro;pp;-5;13;Mismatch;agreement;plural;N;N;other;other
49;PearlmutterEtAl99E3sing;EN;SPR_RT;num;retro;pp;-36;9;Match;agreement;sing;N;N;other;other
49;PearlmutterEtAl99E3plu;EN;SPR_RT;num;retro;pp;+24;10;Match;agreement;plural;N;N;other;other
51;TuckerEtAl2015;AR;SPR_RT;num;retro;obj;-7;7;Match;agreement;sing;N;N;other;other
51;TuckerEtAl2015;AR;SPR_RT;num;retro;obj;-29;14;Mismatch;agreement;plural;N;N;other;other
52;WagersEtAl09E4pp;EN;SPR_RT;num;retro;pp;-17;10;Match;agreement;sing;N;N;other;other
52;WagersEtAl09E4pp;EN;SPR_RT;num;retro;pp;-32;11;Mismatch;agreement;plural;N;N;other;other
53;FranckEtAl15E1RC;FR;SPR_RT;num;pro;obj;100;25;Match;agreement;sing;Y;Y;other;other
54;VanDyke07E1LoSem;EN;SPR_RT;subj;retro;pp_subj;13;30;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
55;VanDyke07E2LoSem;EN;ET_FPRT;subj;retro;pp_subj;37;21;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
55;VanDyke07E2LoSem;EN;ET_RRT;subj;retro;pp_subj;42;71;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
56;VanDyke07E3LoSem;EN;ET_FPRT;subj;retro;pp_subj;20;11;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
56;VanDyke07E3LoSem;EN;ET_RRT;subj;retro;pp_subj;17;28;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
57;VanDykeEtal03E4;EN;SPR_RT;subj;retro;pp_subj;56;25;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
60;VanDykeEtAl11E2bpro;EN;ET_FPRT;subj;pro;obj;7;9;Match;nonagreement;sing;Y;N;other;other
60;VanDykeEtAl11E2bpro;EN;ET_RRT;subj;pro;obj;33;22;Match;nonagreement;sing;Y;N;other;other
61;VanDykeEtAl11E2bretro;EN;ET_FPRT;subj;retro;obj;-7;9;Match;nonagreement;sing;Y;N;other;other
61;VanDykeEtAl11E2bretro;EN;ET_RRT;subj;retro;obj;9;22;Match;nonagreement;sing;Y;N;other;other
62;VanDyke07E3LoSyn;EN;ET_FPRT;subj;retro;pp;8;8;Match;nonagreement;sing;Y;N;other;other
62;VanDyke07E3LoSyn;EN;ET_RRT;subj;retro;pp;-1;25;Match;nonagreement;sing;Y;N;other;other
63;VanDyke07E1LoSyn;EN;SPR_RT;subj;retro;pp;54;34;Match;nonagreement;sing;Y;N;other;other
64;VanDykeE2LoSyn;EN;ET_FPRT;subj;retro;pp;44;19;Match;nonagreement;sing;Y;N;other;other
64;VanDykeE2LoSyn;EN;ET_RRT;subj;retro;pp;17;35;Match;nonagreement;sing;Y;N;other;other
65;VanDykeEtAl06;EN;SPR_RT;sem;pro;memory_3x;38;20;Match;nonagreement;sing;Y;N;other;other
68;VanDykeEtAl11E1bpro;EN;ET_FPRT;subj;pro;subj;5;8;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
68;VanDykeEtAl11E1bpro;EN;ET_RRT;subj;pro;subj;15;20;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
69;VanDykeEtAl11E1bretro;EN;ET_FPRT;subj;pro;subj;-2;11;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
69;VanDykeEtAl11E1bretro;EN;ET_RRT;subj;pro;subj;83;33;Match;nonagreement;sing;Y;N;subj;subj_OR_topic
70;WagersEtAl09E5;EN;ET_SPR;num;retro;pp;-7;5;Match;agreement;sing;N;N;other;other
70;WagersEtAl09E5;EN;ET_SPR;num;retro;pp;-58;12;Mismatch;agreement;sing;N;N;other;other
71;WagersEtAl09E6;EN;ET_SPR;num;retro;pp;-1;4;Match;agreement;sing;N;N;other;other
