"Set","lf","rth","mas","mp","bll","lp","ldp","psc","qcf","cuesim","dprom","cueweighting","ndistr","Publication","Lang","Method","Measure","WM","Cue","IntType","DistrPos","DepType","VerbType","Prominence2","Fit","Fit_Match","Fit_Mismatch","R"
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"CunningsEtAl13E1HI","EN","ET","FPRT","HI","gend","pro","subj_topic","refl",NA,"subj_AND_topic",9.16415,16.0478,10.3044,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"CunningsEtAl14E1","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",16.17875,15.3552,49.3598,-1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1.01,0,1,1,"JaegerEtAl15E1","CN","ET","FPRT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",12.7927,13.5204,18.8252,-1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"CunningsEtAl13E2LO","EN","ET","FPRT","LO","gend","retro","subj_topic","refl",NA,"subj_AND_topic",24.6232,60.5688,37.924,-1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"CunningsEtAl13E2HI","EN","ET","FPRT","HI","gend","retro","subj_topic","refl",NA,"subj_AND_topic",7.5231,14.03,16.0624,-1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"Sturt03E1","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",7.95655,19.4182,6.204,1
4,0.25,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"BadeckerEtAl02E3","EN","SPR","RT",NA,"gend","pro","subj","refl",NA,"subj_OR_topic",6.2042,6.2042,NA,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"FelserEtAl09inaccMism","EN","ET","FPRT",NA,"ccom","pro","subj_topic","refl",NA,"subj_AND_topic",10.1622,10.1622,NA,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,3,"JaegerEtAl15E2","CN","ET","FPRT",NA,"anim","pro","memory_3x","refl",NA,"other",18.6054,18.6054,NA,1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"PatilEtAl2016","EN","ET","FPRT",NA,"gend","retro","subj","refl",NA,"subj_OR_topic",12.33,26.1042,23.2158,-1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"ChenEtAl12local","CN","SPR","RT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",9.3556,9.3556,NA,1
4,0.25,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"BadeckerEtAl02E4","EN","SPR","RT",NA,"num","pro","subj","reci",NA,"subj_OR_topic",13.2494,13.2494,NA,1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1.01,0,1,1,"KushEtAl14","HI","SPR","RT",NA,"num","retro","prepobj","reci",NA,"other",18.65865,14.4858,30.0744,-1
4,0.25,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"FranckEtAl15E1Compl","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other",14.4364,14.4364,NA,1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"DillonEtAl13E1agrmt","EN","ET","FPRT",NA,"num","retro","obj","agreement","sing","other",4.4783,2.9274,6.0292,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"LagoEtAl15E1","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",18.0828,9.968,26.1976,1
4,0.25,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"LagoEtAl15E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",13.034,44.1468,3.9946,1
2,0.15,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"LagoEtAl15E3b","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",9.4447,33.1548,2.312,1
2,0.15,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"WagersEtAl09E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",26.7103,14.4828,38.9378,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"WagersEtAl09E3RNsing","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",5.6205,4.1712,7.0698,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"WagersEtAl09E3RNplu","EN","SPR","RT",NA,"num","pro","subj","agreement","plural","subj_OR_topic",6.45585,3.7494,18.3246,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"LagoEtAl15E3a","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",1.5791,1.5852,1.573,1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"PearlmutterEtAl99E1","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",20.3482,49.3796,32.0132,-1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"PearlmutterEtAl99E2","EN","ET","FPRT",NA,"num","retro","pp","agreement","sing","other",16.35135,50.0202,7.6926,-1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"PearlmutterEtAl99E3sing","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",25.0815,50.163,NA,1
2,0.15,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"PearlmutterEtAl99E3plu","EN","SPR","RT",NA,"num","retro","pp","agreement","plural","other",3.328,3.328,NA,1
3,0.2,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"TuckerEtAl2015","AR","SPR","RT",NA,"num","retro","obj","agreement","sing","other",10.6114,34.8284,3.8086,1
4,0.25,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"WagersEtAl09E4pp","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",13.53165,51.5122,1.3072,1
4,0.25,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"FranckEtAl15E1RC","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other",66.3308,66.3308,NA,1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E1LoSem","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",0.5266,0.5266,NA,1
4,0.25,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E2LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",2.6954,2.6954,NA,1
2,0.15,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E3LoSem","EN","ET","FPRT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",0.871600000000001,0.871600000000001,NA,1
4,0.25,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDykeEtal03E4","EN","SPR","RT",NA,"subj","retro","pp_subj","nonagreement","sing","subj_OR_topic",20.3424,20.3424,NA,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E2bpro","EN","ET","FPRT",NA,"subj","pro","obj","nonagreement","sing","other",7.1334,7.1334,NA,1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDykeEtAl11E2bretro","EN","ET","FPRT",NA,"subj","retro","obj","nonagreement","sing","other",10.5878,21.1756,NA,1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E3LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other",5.7898,5.7898,NA,1
4,0.25,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDyke07E1LoSyn","EN","SPR","RT",NA,"subj","retro","pp","nonagreement","sing","other",19.5878,19.5878,NA,1
4,0.25,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"VanDykeE2LoSyn","EN","ET","FPRT",NA,"subj","retro","pp","nonagreement","sing","other",8.58,8.58,NA,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,3,"VanDykeEtAl06","EN","SPR","RT",NA,"sem","pro","memory_3x","nonagreement","sing","other",5.504,5.504,NA,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E1bpro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",9.1694,9.1694,NA,1
1,0.1,-1.5,1.5,0.25,0,0.7,1.3,0,0,-1,0,1,1,"VanDykeEtAl11E1bretro","EN","ET","FPRT",NA,"subj","pro","subj","nonagreement","sing","subj_OR_topic",8.1614,16.3228,NA,1
4,0.25,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"WagersEtAl09E5","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",23.76455,41.0766,26.9908,1
1,0.1,-1.5,1.5,0.25,0,1.3,0.7,0,0,-1,0,1,1,"WagersEtAl09E6","EN","SPR","RT",NA,"num","retro","pp","agreement","sing","other",7.3957,14.7914,NA,1
3,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2,1,1,"BadeckerEtAl02E5","EN","SPR","RT",NA,"gend","pro","gen","refl",NA,"other",0.0316000000000001,0.0316000000000001,NA,1
2,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-2.5,1,1,"BadeckerEtAl02E6","EN","SPR","RT",NA,"gend","pro","prepobj","refl",NA,"other",0.681,1.362,NA,1
2,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,1.5,1,1,"FelserEtAl09noccom","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",2.6294,2.6294,NA,1
2,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-2.5,1,1,"DillonEtAl13E1refl","EN","ET","FPRT",NA,"num","retro","obj","refl",NA,"other",2.05985,7.9794,0.26,-1
1,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"Sturt03E2","EN","ET","FPRT",NA,"gend","retro","obj_topic","refl",NA,"subj_OR_topic",5.0536,1.5614,17.0916,-1
7,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,4,1,1,"CunningsEtAl13E1LO","EN","ET","FPRT","LO","gend","pro","subj_topic","refl",NA,"subj_AND_topic",1.5313,1.5868,1.4758,-1
7,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,4,1,1,"CunningsEtAl13E1HI","EN","ET","FPRT","HI","gend","pro","subj_topic","refl",NA,"subj_AND_topic",1.4577,1.4886,1.4268,1
7,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,4,1,1,"CunningsEtAl14E1","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",11.32075,2.419,40.445,-1
1,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.9,-1,1,1,"JaegerEtAl15E1","CN","ET","FPRT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",3.90885,15.223,0.206199999999999,1
3,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,2,1,1,"CunningsEtAl13E2LO","EN","ET","FPRT","LO","gend","retro","subj_topic","refl",NA,"subj_AND_topic",27.22075,31.8976,45.0878,-1
7,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,4,1,1,"CunningsEtAl13E2HI","EN","ET","FPRT","HI","gend","retro","subj_topic","refl",NA,"subj_AND_topic",2.2718,2.5214,6.5658,-1
6,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,3.5,1,1,"Sturt03E1","EN","ET","FPRT",NA,"gend","pro","subj_topic","refl",NA,"subj_AND_topic",0.9281,0.5818,1.2744,1
4,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"BadeckerEtAl02E3","EN","SPR","RT",NA,"gend","pro","subj","refl",NA,"subj_OR_topic",22.1448,22.1448,NA,1
2,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,1.5,1,1,"FelserEtAl09inaccMism","EN","ET","FPRT",NA,"ccom","pro","subj_topic","refl",NA,"subj_AND_topic",3.5842,3.5842,NA,1
5,0.15,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,-1,1,3,"JaegerEtAl15E2","CN","ET","FPRT",NA,"anim","pro","memory_3x","refl",NA,"other",0.3246,0.3246,NA,1
7,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,2,1,1,"PatilEtAl2016","EN","ET","FPRT",NA,"gend","retro","subj","refl",NA,"subj_OR_topic",8.94735,3.0712,29.647,-1
1,0.15,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"ChenEtAl12local","CN","SPR","RT",NA,"anim","retro","subj","refl",NA,"subj_OR_topic",8.7966,8.7966,NA,1
4,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0.5,1,1,"BadeckerEtAl02E4","EN","SPR","RT",NA,"num","pro","subj","reci",NA,"subj_OR_topic",21.0906,21.0906,NA,1
36,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-0.4,-1.5,1,1,"KushEtAl14","HI","SPR","RT",NA,"num","retro","prepobj","reci",NA,"other",5.5122,13.8476,4.1006,1
7,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,0,1,1,"FranckEtAl15E1Compl","FR","SPR","RT",NA,"num","pro","obj","agreement","sing","other",31.9936,31.9936,NA,1
5,0.2,-1.5,1.5,0.25,0.5,1.3,0.7,1,10,-1,-1,1,1,"DillonEtAl13E1agrmt","EN","ET","FPRT",NA,"num","retro","obj","agreement","sing","other",0.8676,0.2288,1.5064,1
6,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,1.5,1,1,"LagoEtAl15E1","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",5.0397,3.3604,6.719,1
7,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,2,1,1,"LagoEtAl15E2","EN","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",4.1396,5.0486,3.2306,1
7,0.2,-1.5,1.5,0.25,0.5,0.7,1.3,1,10,-1,2,1,1,"LagoEtAl15E3b","SP","SPR","RT",NA,"num","pro","subj","agreement","sing","subj_OR_topic",5.9471,1.1196,10.7746,1
